აბატი	ɑbɑtʼɪ	ɑbɑtʼi
მუსიკას	musɪkʼɑs	musikʼɑs
მუსიკით	musɪkʼɪtʰ	musikʼitʰ
მუსიკის	musɪkʼɪs	musikʼis
მუსიკოსი	musɪkʼɔsɪ	musikʼɔsi
მუსკატი	muskʼɑtʼɪ	muskʼɑtʼi
მუსლიმი	muslɪmɪ	muslimi
მუსლინი	muslɪnɪ	muslini
მუსონი	musɔnɪ	musɔni
მუსტანგი	mustʼɑnɡɪ	mustʼɑnɡi
მუტაცია	mutʼɑtsɪɑ	mutʼɑtsiɑ
მუქარით	mukʰɑrɪtʰ	mukʰɑritʰ
მუღამი	muʁɑmɪ	muɣɑmi
მუშკეტერი	muʃkʼɛtʼɛrɪ	muʃkʼɛtʼɛri
მუშკი	muʃkʼɪ	muʃkʼi
მუხანათურად	muχɑnɑtʰurɑd	muxɑnɑtʰurɑd
მუხანათური	muχɑnɑtʰurɪ	muxɑnɑtʰuri
მუხლუხი	muχluχɪ	muxluxi
მუჯლუგუნი	mudʒluɡunɪ	mudʒluɡuni
მუჰამედი	muhɑmɛdɪ	muhɑmɛdi
მქრქალი	mkʰrkʰɑlɪ	mkʰrkʰɑli
მღვიმე	mʁvɪmɛ	mɣvimɛ
მღვრიე	mʁvrɪɛ	mɣvriɛ
მყესი	mqʼɛsɪ	mqʼɛsi
მყინვარი	mqʼɪnvɑrɪ	mqʼinvɑri
მყისიერი	mqʼɪsɪɛrɪ	mqʼisiɛri
მყიფე	mqʼɪpʰɛ	mqʼipʰɛ
მყოფი	mqʼɔpʰɪ	mqʼɔpʰi
მშვენივრად	mʃvɛnɪvrɑd	mʃvɛnivrɑd
მშვიდად	mʃvɪdɑd	mʃvidɑd
მშვიდობიანად	mʃvɪdɔbɪɑnɑd	mʃvidɔbiɑnɑd
მშვიდობიანი	mʃvɪdɔbɪɑnɪ	mʃvidɔbiɑni
მშვილდოსნობა	mʃvɪldɔsnɔbɑ	mʃvildɔsnɔbɑ
მშობიარე	mʃɔbɪɑrɛ	mʃɔbiɑrɛ
მშობიარობა	mʃɔbɪɑrɔbɑ	mʃɔbiɑrɔbɑ
მშობლიური	mʃɔblɪurɪ	mʃɔbliuri
მცველი	mtsvɛlɪ	mtsvɛli
მცხუნვარე	mtsχunvɑrɛ	mtsxunvɑrɛ
მცხუნვარედ	mtsχunvɑrɛd	mtsxunvɑrɛd
მძარცველური	mdzɑrtsvɛlurɪ	mdzɑrtsvɛluri
მძევალი	mdzɛvɑlɪ	mdzɛvɑli
მძვინვარებით	mdzvɪnvɑrɛbɪtʰ	mdzvinvɑrɛbitʰ
მძვინვარედ	mdzvɪnvɑrɛd	mdzvinvɑrɛd
მძივი	mdzɪvɪ	mdzivi
მძივისებრი	mdzɪvɪsɛbrɪ	mdzivisɛbri
მძინარა	mdzɪnɑrɑ	mdzinɑrɑ
მძინარე	mdzɪnɑrɛ	mdzinɑrɛ
მძინარედ	mdzɪnɑrɛd	mdzinɑrɛd
მძღნერი	mdzʁnɛrɪ	mdzɣnɛri
მძღოლი	mdzʁɔlɪ	mdzɣɔli
მწევარი	mtsʼɛvɑrɪ	mtsʼɛvɑri
მწვანილი	mtsʼvɑnɪlɪ	mtsʼvɑnili
მწვერვალი	mtsʼvɛrvɑlɪ	mtsʼvɛrvɑli
მწიკვი	mtsʼɪkʼvɪ	mtsʼikʼvi
მწირად	mtsʼɪrɑd	mtsʼirɑd
მწიფე	mtsʼɪpʰɛ	mtsʼipʰɛ
მწიფედ	mtsʼɪpʰɛd	mtsʼipʰɛd
მწკრივად	mtsʼkʼrɪvɑd	mtsʼkʼrivɑd
მწკრივი	mtsʼkʼrɪvɪ	mtsʼkʼrivi
მწკრივში	mtsʼkʼrɪvʃɪ	mtsʼkʼrivʃi
მწნილი	mtsʼnɪlɪ	mtsʼnili
მწუხარედ	mtsʼuχɑrɛd	mtsʼuxɑrɛd
მწყემსი	mtsʼqʼɛmsɪ	mtsʼqʼɛmsi
მწყერი	mtsʼqʼɛrɪ	mtsʼqʼɛri
მწყერჩიტა	mtsʼqʼɛrtʃɪtʼɑ	mtsʼqʼɛrtʃitʼɑ
მჭამელი	mtʃʼɑmɛlɪ	mtʃʼɑmɛli
მჭიდროდ	mtʃʼɪdrɔd	mtʃʼidrɔd
მჭირდება	mtʃʼɪrdɛbɑ	mtʃʼirdɛbɑ
მხარბეჭიანი	mχɑrbɛtʃʼɪɑnɪ	mxɑrbɛtʃʼiɑni
მხარდაჭერა	mχɑrdɑtʃʼɛrɑ	mxɑrdɑtʃʼɛrɑ
მხარედ	mχɑrɛd	mxɑrɛd
მხარემ	mχɑrɛm	mxɑrɛm
მხარეს	mχɑrɛs	mxɑrɛs
მხარით	mχɑrɪtʰ	mxɑritʰ
მხარის	mχɑrɪs	mxɑris
მხატვარი	mχɑtʼvɑrɪ	mxɑtʼvɑri
მხები	mχɛbɪ	mxɛbi
მხედველობა	mχɛdvɛlɔbɑ	mxɛdvɛlɔbɑ
მხეცურად	mχɛtsurɑd	mxɛtsurɑd
მხეცური	mχɛtsurɪ	mxɛtsuri
მხიარულად	mχɪɑrulɑd	mxiɑrulɑd
მხიე	mχɪɛ	mxiɛ
მხნედ	mχnɛd	mxnɛd
მხოლობითად	mχɔlɔbɪtʰɑd	mxɔlɔbitʰɑd
მხოლოდდამხოლოდ	mχɔlɔddɑmχɔlɔd	mxɔlɔddɑmxɔlɔd
მხურვალედ	mχurvɑlɛd	mxurvɑlɛd
მხცოვანი	mχtsɔvɑnɪ	mxtsɔvɑni
ნაბათი	nɑbɑtʰɪ	nɑbɑtʰi
ნაბიჭვარი	nɑbɪtʃʼvɑrɪ	nɑbitʃʼvɑri
ნაბოზარი	nɑbɔzɑrɪ	nɑbɔzɑri
ნაგავი	nɑɡɑvɪ	nɑɡɑvi
ნაგერალი	nɑɡɛrɑlɪ	nɑɡɛrɑli
ნადავლი	nɑdɑvlɪ	nɑdɑvli
ნადიმი	nɑdɪmɪ	nɑdimi
ნაერთი	nɑɛrtʰɪ	nɑɛrtʰi
ნავთობი	nɑvtʰɔbɪ	nɑvtʰɔbi
ნავთობიანი	nɑvtʰɔbɪɑnɪ	nɑvtʰɔbiɑni
ნავი	nɑvɪ	nɑvi
ნავიგაცია	nɑvɪɡɑtsɪɑ	nɑviɡɑtsiɑ
ნავსადგური	nɑvsɑdɡurɪ	nɑvsɑdɡuri
ნავსადგურით	nɑvsɑdɡurɪtʰ	nɑvsɑdɡuritʰ
ნავსადგურის	nɑvsɑdɡurɪs	nɑvsɑdɡuris
ნავსაყუდელი	nɑvsɑqʼudɛlɪ	nɑvsɑqʼudɛli
ნათარგმნი	nɑtʰɑrɡmnɪ	nɑtʰɑrɡmni
ნათესავი	nɑtʰɛsɑvɪ	nɑtʰɛsɑvi
ნათლული	nɑtʰlulɪ	nɑtʰluli
ნაირა	nɑɪrɑ	nɑirɑ
ნაირგვაროვნად	nɑɪrɡvɑrɔvnɑd	nɑirɡvɑrɔvnɑd
ნაირობი	nɑɪrɔbɪ	nɑirɔbi
ნაირსახეობა	nɑɪrsɑχɛɔbɑ	nɑirsɑxɛɔbɑ
ნაკელი	nɑkʼɛlɪ	nɑkʼɛli
ნაკვალევი	nɑkʼvɑlɛvɪ	nɑkʼvɑlɛvi
ნაკლიანი	nɑkʼlɪɑnɪ	nɑkʼliɑni
ნაკრები	nɑkʼrɛbɪ	nɑkʼrɛbi
ნაკუწი	nɑkʼutsʼɪ	nɑkʼutsʼi
ნალბანდი	nɑlbɑndɪ	nɑlbɑndi
ნალი	nɑlɪ	nɑli
ნამეტანი	nɑmɛtʼɑnɪ	nɑmɛtʼɑni
ნამზეური	nɑmzɛurɪ	nɑmzɛuri
ნამქერი	nɑmkʰɛrɪ	nɑmkʰɛri
ნამცეცი	nɑmtsɛtsɪ	nɑmtsɛtsi
ნამცხვარი	nɑmtsχvɑrɪ	nɑmtsxvɑri
ნამძინარევად	nɑmdzɪnɑrɛvɑd	nɑmdzinɑrɛvɑd
ნანახი	nɑnɑχɪ	nɑnɑxi
ნანგრევი	nɑnɡrɛvɪ	nɑnɡrɛvi
ნანსუკი	nɑnsukʼɪ	nɑnsukʼi
ნაოჭებიანი	nɑɔtʃʼɛbɪɑnɪ	nɑɔtʃʼɛbiɑni
ნაოჭი	nɑɔtʃʼɪ	nɑɔtʃʼi
ნაპალმი	nɑpʼɑlmɪ	nɑpʼɑlmi
ნაპერწკალი	nɑpʼɛrtsʼkʼɑlɪ	nɑpʼɛrtsʼkʼɑli
ნაპირზე	nɑpʼɪrzɛ	nɑpʼirzɛ
ნაპირთან	nɑpʼɪrtʰɑn	nɑpʼirtʰɑn
ნაპირისაკენ	nɑpʼɪrɪsɑkʼɛn	nɑpʼirisɑkʼɛn
ნაპირისკენ	nɑpʼɪrɪskʼɛn	nɑpʼiriskʼɛn
ნაპრალი	nɑpʼrɑlɪ	nɑpʼrɑli
ნარვალი	nɑrvɑlɪ	nɑrvɑli
ნართი	nɑrtʰɪ	nɑrtʰi
ნარკომანი	nɑrkʼɔmɑnɪ	nɑrkʼɔmɑni
ნარკოტიკული	nɑrkʼɔtʼɪkʼulɪ	nɑrkʼɔtʼikʼuli
ნარშავი	nɑrʃɑvɪ	nɑrʃɑvi
ნარჩენი	nɑrtʃɛnɪ	nɑrtʃɛni
ნასკვი	nɑskʼvɪ	nɑskʼvi
ნასკვიანი	nɑskʼvɪɑnɪ	nɑskʼviɑni
ნასკი	nɑskʼɪ	nɑskʼi
ნატი	nɑtʼɪ	nɑtʼi
ნატიურმორტი	nɑtʼɪurmɔrtʼɪ	nɑtʼiurmɔrtʼi
ნატურალიზმი	nɑtʼurɑlɪzmɪ	nɑtʼurɑlizmi
ნატურალისტი	nɑtʼurɑlɪstʼɪ	nɑtʼurɑlistʼi
ნაფოტი	nɑpʰɔtʼɪ	nɑpʰɔtʼi
ნაქარგი	nɑkʰɑrɡɪ	nɑkʰɑrɡi
ნაღდად	nɑʁdɑd	nɑɣdɑd
ნაღდი	nɑʁdɪ	nɑɣdi
ნაღები	nɑʁɛbɪ	nɑɣɛbi
ნაღებიანი	nɑʁɛbɪɑnɪ	nɑɣɛbiɑni
ნაღვერდალი	nɑʁvɛrdɑlɪ	nɑɣvɛrdɑli
ნაღვლიანად	nɑʁvlɪɑnɑd	nɑɣvliɑnɑd
ნაღვლიანი	nɑʁvlɪɑnɪ	nɑɣvliɑni
ნაყალბევი	nɑqʼɑlbɛvɪ	nɑqʼɑlbɛvi
ნაყვავილარი	nɑqʼvɑvɪlɑrɪ	nɑqʼvɑvilɑri
ნაყოფიერად	nɑqʼɔpʰɪɛrɑd	nɑqʼɔpʰiɛrɑd
ნაშთი	nɑʃtʰɪ	nɑʃtʰi
ნაშუადღევი	nɑʃuɑdʁɛvɪ	nɑʃuɑdɣɛvi
ნაშუადღევს	nɑʃuɑdʁɛvs	nɑʃuɑdɣɛvs
ნაშური	nɑʃurɪ	nɑʃuri
ნაჩქარევი	nɑtʃkʰɑrɛvɪ	nɑtʃkʰɑrɛvi
ნაცარი	nɑtsɑrɪ	nɑtsɑri
ნაციზმი	nɑtsɪzmɪ	nɑtsizmi
ნაციონალისტი	nɑtsɪɔnɑlɪstʼɪ	nɑtsiɔnɑlistʼi
ნაციონალურად	nɑtsɪɔnɑlurɑd	nɑtsiɔnɑlurɑd
ნაცისტი	nɑtsɪstʼɪ	nɑtsistʼi
ნაცისტური	nɑtsɪstʼurɪ	nɑtsistʼuri
ნაცრისფრად	nɑtsrɪspʰrɑd	nɑtsrispʰrɑd
ნაძირალა	nɑdzɪrɑlɑ	nɑdzirɑlɑ
ნაძირალი	nɑdzɪrɑlɪ	nɑdzirɑli
ნაძლევი	nɑdzlɛvɪ	nɑdzlɛvi
ნაწარმი	nɑtsʼɑrmɪ	nɑtsʼɑrmi
ნაწარმოები	nɑtsʼɑrmɔɛbɪ	nɑtsʼɑrmɔɛbi
ნაწიბური	nɑtsʼɪburɪ	nɑtsʼiburi
ნაწილაკი	nɑtsʼɪlɑkʼɪ	nɑtsʼilɑkʼi
ნაწილობრივ	nɑtsʼɪlɔbrɪv	nɑtsʼilɔbriv
ნაწილობრივი	nɑtsʼɪlɔbrɪvɪ	nɑtsʼilɔbrivi
ნაწნავი	nɑtsʼnɑvɪ	nɑtsʼnɑvi
ნაჭუჭი	nɑtʃʼutʃʼɪ	nɑtʃʼutʃʼi
ნახევარგზაზე	nɑχɛvɑrɡzɑzɛ	nɑxɛvɑrɡzɑzɛ
ნახევარსფერო	nɑχɛvɑrspʰɛrɔ	nɑxɛvɑrspʰɛrɔ
ნახევარტონი	nɑχɛvɑrtʼɔnɪ	nɑxɛvɑrtʼɔni
ნახევარძმა	nɑχɛvɑrdzmɑ	nɑxɛvɑrdzmɑ
ნახევარწრე	nɑχɛvɑrtsʼrɛ	nɑxɛvɑrtsʼrɛ
ნახევრადფენოვანი	nɑχɛvrɑdpʰɛnɔvɑnɪ	nɑxɛvrɑdpʰɛnɔvɑni
ნახერხი	nɑχɛrχɪ	nɑxɛrxi
ნახველი	nɑχvɛlɪ	nɑxvɛli
ნახვრეტი	nɑχvrɛtʼɪ	nɑxvrɛtʼi
ნახშირწყალი	nɑχʃɪrtsʼqʼɑlɪ	nɑxʃirtsʼqʼɑli
ნეაპოლი	nɛɑpʼɔlɪ	nɛɑpʼɔli
ნებაყოფლობით	nɛbɑqʼɔpʰlɔbɪtʰ	nɛbɑqʼɔpʰlɔbitʰ
ნებისყოფა	nɛbɪsqʼɔpʰɑ	nɛbisqʼɔpʰɑ
ნეგუსი	nɛɡusɪ	nɛɡusi
ნევრალგია	nɛvrɑlɡɪɑ	nɛvrɑlɡiɑ
ნევრალგიური	nɛvrɑlɡɪurɪ	nɛvrɑlɡiuri
ნევრიტი	nɛvrɪtʼɪ	nɛvritʼi
ნევროლოგი	nɛvrɔlɔɡɪ	nɛvrɔlɔɡi
ნევროლოგია	nɛvrɔlɔɡɪɑ	nɛvrɔlɔɡiɑ
ნეზვი	nɛzvɪ	nɛzvi
ნეიტრალური	nɛɪtʼrɑlurɪ	nɛitʼrɑluri
ნეიტრონი	nɛɪtʼrɔnɪ	nɛitʼrɔni
ნეკერჩხალი	nɛkʼɛrtʃχɑlɪ	nɛkʼɛrtʃxɑli
ნეკნი	nɛkʼnɪ	nɛkʼni
ნეკროლოგი	nɛkʼrɔlɔɡɪ	nɛkʼrɔlɔɡi
ნეკრომანტი	nɛkʼrɔmɑntʼɪ	nɛkʼrɔmɑntʼi
ნელთბილად	nɛltʰbɪlɑd	nɛltʰbilɑd
ნელთბილი	nɛltʰbɪlɪ	nɛltʰbili
ნელსონი	nɛlsɔnɪ	nɛlsɔni
ნემეზიდა	nɛmɛzɪdɑ	nɛmɛzidɑ
ნემსიყლაპია	nɛmsɪqʼlɑpʼɪɑ	nɛmsiqʼlɑpʼiɑ
ნემსიწვერა	nɛmsɪtsʼvɛrɑ	nɛmsitsʼvɛrɑ
ნეოლითური	nɛɔlɪtʰurɪ	nɛɔlitʰuri
ნეოლოგიზმი	nɛɔlɔɡɪzmɪ	nɛɔlɔɡizmi
ნეოფიტი	nɛɔpʰɪtʼɪ	nɛɔpʰitʼi
ნეპოტიზმი	nɛpʼɔtʼɪzmɪ	nɛpʼɔtʼizmi
ნეპტუნი	nɛpʼtʼunɪ	nɛpʼtʼuni
ნერვოზი	nɛrvɔzɪ	nɛrvɔzi
ნესტარი	nɛstʼɑrɪ	nɛstʼɑri
ნესტიანად	nɛstʼɪɑnɑd	nɛstʼiɑnɑd
ნესტიანი	nɛstʼɪɑnɪ	nɛstʼiɑni
ნესტორი	nɛstʼɔrɪ	nɛstʼɔri
ნეტარი	nɛtʼɑrɪ	nɛtʼɑri
ნეფრიტი	nɛpʰrɪtʼɪ	nɛpʰritʼi
ნეხვი	nɛχvɪ	nɛxvi
ნიახური	nɪɑχurɪ	niɑxuri
ნიგვზიანი	nɪɡvzɪɑnɪ	niɡvziɑni
ნიდაო	nɪdɑɔ	nidɑɔ
ნიდაყვი	nɪdɑqʼvɪ	nidɑqʼvi
ნიდერლანდები	nɪdɛrlɑndɛbɪ	nidɛrlɑndɛbi
ნიდერლანდელი	nɪdɛrlɑndɛlɪ	nidɛrlɑndɛli
ნიკოლი	nɪkʼɔlɪ	nikʼɔli
ნიმუში	nɪmuʃɪ	nimuʃi
ნიმფა	nɪmpʰɑ	nimpʰɑ
ნინოწმინდა	nɪnɔtsʼmɪndɑ	ninɔtsʼmindɑ
ნიორი	nɪɔrɪ	niɔri
ნიჟარა	nɪʒɑrɑ	niʒɑrɑ
ნიჟარი	nɪʒɑrɪ	niʒɑri
ნირვანა	nɪrvɑnɑ	nirvɑnɑ
ნირი	nɪrɪ	niri
ნისლოვანება	nɪslɔvɑnɛbɑ	nislɔvɑnɛbɑ
ნიტრატი	nɪtʼrɑtʼɪ	nitʼrɑtʼi
ნიუანსი	nɪuɑnsɪ	niuɑnsi
ნიუკა	nɪukʼɑ	niukʼɑ
ნიში	nɪʃɪ	niʃi
ნიშნავს	nɪʃnɑvs	niʃnɑvs
ნიჩბოსანი	nɪtʃbɔsɑnɪ	nitʃbɔsɑni
ნიჩბოსნობა	nɪtʃbɔsnɔbɑ	nitʃbɔsnɔbɑ
ნიჭიერება	nɪtʃʼɪɛrɛbɑ	nitʃʼiɛrɛbɑ
ნიჰილიზმი	nɪhɪlɪzmɪ	nihilizmi
ნიჰილისტი	nɪhɪlɪstʼɪ	nihilistʼi
ნიჰილისტური	nɪhɪlɪstʼurɪ	nihilistʼuri
ნობელი	nɔbɛlɪ	nɔbɛli
ნოვატორი	nɔvɑtʼɔrɪ	nɔvɑtʼɔri
ნოკაუტი	nɔkʼɑutʼɪ	nɔkʼɑutʼi
ნომინალურად	nɔmɪnɑlurɑd	nɔminɑlurɑd
ნომინალური	nɔmɪnɑlurɪ	nɔminɑluri
ნომინაცია	nɔmɪnɑtsɪɑ	nɔminɑtsiɑ
ნორვეგიული	nɔrvɛɡɪulɪ	nɔrvɛɡiuli
ნორმალიზაცია	nɔrmɑlɪzɑtsɪɑ	nɔrmɑlizɑtsiɑ
ნორმანი	nɔrmɑnɪ	nɔrmɑni
ნორმატიული	nɔrmɑtʼɪulɪ	nɔrmɑtʼiuli
ნოსტალგია	nɔstʼɑlɡɪɑ	nɔstʼɑlɡiɑ
ნოსტალგიურად	nɔstʼɑlɡɪurɑd	nɔstʼɑlɡiurɑd
ნოსტალგიური	nɔstʼɑlɡɪurɪ	nɔstʼɑlɡiuri
ნოტარიუსი	nɔtʼɑrɪusɪ	nɔtʼɑriusi
ნოტაცია	nɔtʼɑtsɪɑ	nɔtʼɑtsiɑ
ნოტიო	nɔtʼɪɔ	nɔtʼiɔ
ნოქტიურნი	nɔkʰtʼɪurnɪ	nɔkʰtʼiurni
ნოყიერი	nɔqʼɪɛrɪ	nɔqʼiɛri
ნოხი	nɔχɪ	nɔxi
ნუკრი	nukʼrɪ	nukʼri
ნულოვანი	nulɔvɑnɪ	nulɔvɑni
ნუმიზმატიკა	numɪzmɑtʼɪkʼɑ	numizmɑtʼikʼɑ
ნუსხა	nusχɑ	nusxɑ
ნუტრია	nutʼrɪɑ	nutʼriɑ
ნუღარ	nuʁɑr	nuɣɑr
ოაზისი	ɔɑzɪsɪ	ɔɑzisi
ობელისკი	ɔbɛlɪskʼɪ	ɔbɛliskʼi
ობერტონი	ɔbɛrtʼɔnɪ	ɔbɛrtʼɔni
ობიანი	ɔbɪɑnɪ	ɔbiɑni
ობიექტი	ɔbɪɛkʰtʼɪ	ɔbiɛkʰtʼi
ობიექტურად	ɔbɪɛkʰtʼurɑd	ɔbiɛkʰtʼurɑd
ობლიგაცია	ɔblɪɡɑtsɪɑ	ɔbliɡɑtsiɑ
ობსერვატორია	ɔbsɛrvɑtʼɔrɪɑ	ɔbsɛrvɑtʼɔriɑ
ობსტრუქცია	ɔbstʼrukʰtsɪɑ	ɔbstʼrukʰtsiɑ
ოდეკოლონი	ɔdɛkʼɔlɔnɪ	ɔdɛkʼɔlɔni
ოდიოზურად	ɔdɪɔzurɑd	ɔdiɔzurɑd
ოდისეა	ɔdɪsɛɑ	ɔdisɛɑ
ოვალი	ɔvɑlɪ	ɔvɑli
ოვალური	ɔvɑlurɪ	ɔvɑluri
ოვაცია	ɔvɑtsɪɑ	ɔvɑtsiɑ
ოთახი	ɔtʰɑχɪ	ɔtʰɑxi
ოთხკუთხა	ɔtʰχkʼutʰχɑ	ɔtʰxkʼutʰxɑ
ოთხკუთხედი	ɔtʰχkʼutʰχɛdɪ	ɔtʰxkʼutʰxɛdi
ოთხმხრივი	ɔtʰχmχrɪvɪ	ɔtʰxmxrivi
ოთხნაწილიანი	ɔtʰχnɑtsʼɪlɪɑnɪ	ɔtʰxnɑtsʼiliɑni
ოთხფეხი	ɔtʰχpʰɛχɪ	ɔtʰxpʰɛxi
ოთხჯერადი	ɔtʰχdʒɛrɑdɪ	ɔtʰxdʒɛrɑdi
ოიდიპოსი	ɔɪdɪpʼɔsɪ	ɔidipʼɔsi
ოკეანური	ɔkʼɛɑnurɪ	ɔkʼɛɑnuri
ოკულისტი	ɔkʼulɪstʼɪ	ɔkʼulistʼi
ოლეანდრი	ɔlɛɑndrɪ	ɔlɛɑndri
ოლი	ɔlɪ	ɔli
ოლიგარქი	ɔlɪɡɑrkʰɪ	ɔliɡɑrkʰi
ოლივერი	ɔlɪvɛrɪ	ɔlivɛri
ოლიმპიადა	ɔlɪmpʼɪɑdɑ	ɔlimpʼiɑdɑ
ოლიმპიური	ɔlɪmpʼɪurɪ	ɔlimpʼiuri
ომბუდსმენი	ɔmbudsmɛnɪ	ɔmbudsmɛni
ომით	ɔmɪtʰ	ɔmitʰ
ომის	ɔmɪs	ɔmis
ომლეტი	ɔmlɛtʼɪ	ɔmlɛtʼi
ომნიბუსი	ɔmnɪbusɪ	ɔmnibusi
ომონიმი	ɔmɔnɪmɪ	ɔmɔnimi
ონკანი	ɔnkʼɑnɪ	ɔnkʼɑni
ონტოლოგია	ɔntʼɔlɔɡɪɑ	ɔntʼɔlɔɡiɑ
ოპალი	ɔpʼɑlɪ	ɔpʼɑli
ოპერატიული	ɔpʼɛrɑtʼɪulɪ	ɔpʼɛrɑtʼiuli
ოპერაცია	ɔpʼɛrɑtsɪɑ	ɔpʼɛrɑtsiɑ
ოპერაციული	ɔpʼɛrɑtsɪulɪ	ɔpʼɛrɑtsiuli
ოპიუმი	ɔpʼɪumɪ	ɔpʼiumi
ოპოზიცია	ɔpʼɔzɪtsɪɑ	ɔpʼɔzitsiɑ
ოპორტუნიზმი	ɔpʼɔrtʼunɪzmɪ	ɔpʼɔrtʼunizmi
ოპორტუნისტი	ɔpʼɔrtʼunɪstʼɪ	ɔpʼɔrtʼunistʼi
ოპტიკა	ɔpʼtʼɪkʼɑ	ɔpʼtʼikʼɑ
ოპტიკოსი	ɔpʼtʼɪkʼɔsɪ	ɔpʼtʼikʼɔsi
ოპტიკურად	ɔpʼtʼɪkʼurɑd	ɔpʼtʼikʼurɑd
ოპტიკური	ɔpʼtʼɪkʼurɪ	ɔpʼtʼikʼuri
ოპტიმალურად	ɔpʼtʼɪmɑlurɑd	ɔpʼtʼimɑlurɑd
ოპტიმალური	ɔpʼtʼɪmɑlurɪ	ɔpʼtʼimɑluri
ოპტიმიზმი	ɔpʼtʼɪmɪzmɪ	ɔpʼtʼimizmi
ოპტიმისტი	ɔpʼtʼɪmɪstʼɪ	ɔpʼtʼimistʼi
ოპტიმისტურად	ɔpʼtʼɪmɪstʼurɑd	ɔpʼtʼimistʼurɑd
ოპტიმისტური	ɔpʼtʼɪmɪstʼurɪ	ɔpʼtʼimistʼuri
ოპუსი	ɔpʼusɪ	ɔpʼusi
ორაკული	ɔrɑkʼulɪ	ɔrɑkʼuli
ორასწლოვანი	ɔrɑstsʼlɔvɑnɪ	ɔrɑstsʼlɔvɑni
ორატორი	ɔrɑtʼɔrɪ	ɔrɑtʼɔri
ორატორია	ɔrɑtʼɔrɪɑ	ɔrɑtʼɔriɑ
ორატორით	ɔrɑtʼɔrɪtʰ	ɔrɑtʼɔritʰ
ორატორის	ɔrɑtʼɔrɪs	ɔrɑtʼɔris
ორატორული	ɔrɑtʼɔrulɪ	ɔrɑtʼɔruli
ორბიტული	ɔrbɪtʼulɪ	ɔrbitʼuli
ორბორტიანი	ɔrbɔrtʼɪɑnɪ	ɔrbɔrtʼiɑni
ორგანიზატორი	ɔrɡɑnɪzɑtʼɔrɪ	ɔrɡɑnizɑtʼɔri
ორგანიზაცია	ɔrɡɑnɪzɑtsɪɑ	ɔrɡɑnizɑtsiɑ
ორგანიზაციურად	ɔrɡɑnɪzɑtsɪurɑd	ɔrɡɑnizɑtsiurɑd
ორგანიზმი	ɔrɡɑnɪzmɪ	ɔrɡɑnizmi
ორგანისტი	ɔrɡɑnɪstʼɪ	ɔrɡɑnistʼi
ორგია	ɔrɡɪɑ	ɔrɡiɑ
ორთოგრაფია	ɔrtʰɔɡrɑpʰɪɑ	ɔrtʰɔɡrɑpʰiɑ
ორთოგრაფიული	ɔrtʰɔɡrɑpʰɪulɪ	ɔrtʰɔɡrɑpʰiuli
ორთოპედია	ɔrtʰɔpʼɛdɪɑ	ɔrtʰɔpʼɛdiɑ
ორთოპედიული	ɔrtʰɔpʼɛdɪulɪ	ɔrtʰɔpʼɛdiuli
ორიანი	ɔrɪɑnɪ	ɔriɑni
ორიგინალურად	ɔrɪɡɪnɑlurɑd	ɔriɡinɑlurɑd
ორიენტალისტი	ɔrɪɛntʼɑlɪstʼɪ	ɔriɛntʼɑlistʼi
ორიენტაცია	ɔrɪɛntʼɑtsɪɑ	ɔriɛntʼɑtsiɑ
ორიენტირი	ɔrɪɛntʼɪrɪ	ɔriɛntʼiri
ორკარედი	ɔrkʼɑrɛdɪ	ɔrkʼɑrɛdi
ორკესტრანტი	ɔrkʼɛstʼrɑntʼɪ	ɔrkʼɛstʼrɑntʼi
ორკესტრი	ɔrkʼɛstʼrɪ	ɔrkʼɛstʼri
ორკვირიანი	ɔrkʼvɪrɪɑnɪ	ɔrkʼviriɑni
ორლეანი	ɔrlɛɑnɪ	ɔrlɛɑni
ორლესული	ɔrlɛsulɪ	ɔrlɛsuli
ორლულიანი	ɔrlulɪɑnɪ	ɔrluliɑni
ორმარცვლიანი	ɔrmɑrtsvlɪɑnɪ	ɔrmɑrtsvliɑni
ორმხრივად	ɔrmχrɪvɑd	ɔrmxrivɑd
ორმხრივი	ɔrmχrɪvɪ	ɔrmxrivi
ორნამენტი	ɔrnɑmɛntʼɪ	ɔrnɑmɛntʼi
ორნამენტული	ɔrnɑmɛntʼulɪ	ɔrnɑmɛntʼuli
ორპალატიანი	ɔrpʼɑlɑtʼɪɑnɪ	ɔrpʼɑlɑtʼiɑni
ორპარტიული	ɔrpʼɑrtʼɪulɪ	ɔrpʼɑrtʼiuli
ორჟანგი	ɔrʒɑnɡɪ	ɔrʒɑnɡi
ორსაწოლიანი	ɔrsɑtsʼɔlɪɑnɪ	ɔrsɑtsʼɔliɑni
ორქიდეა	ɔrkʰɪdɛɑ	ɔrkʰidɛɑ
ორცხობილა	ɔrtsχɔbɪlɑ	ɔrtsxɔbilɑ
ორწერტილი	ɔrtsʼɛrtʼɪlɪ	ɔrtsʼɛrtʼili
ოსვალდი	ɔsvɑldɪ	ɔsvɑldi
ოსკარი	ɔskʼɑrɪ	ɔskʼɑri
ოსტატური	ɔstʼɑtʼurɪ	ɔstʼɑtʼuri
ოსტრაკიზმი	ɔstʼrɑkʼɪzmɪ	ɔstʼrɑkʼizmi
ოსტრი	ɔstʼrɪ	ɔstʼri
